Name:	friedman.csv 
Root Mean Squared Error:	1.8539789884921636
best k:	8
data range:	(0.664014955, 28.5903858)
dataset size:	1200
Predicted Data	Raw Data
22.44	24.89
11.93	10.45
11.36	10.55
19.37	18.83
10.42	9.11
20.32	20.10
12.76	9.28
8.27	9.17
9.41	7.44
20.12	22.83
12.34	12.80
19.80	20.11
18.73	20.30
17.24	15.80
16.25	16.96
8.16	7.30
7.88	8.28
20.42	22.79
5.80	4.98
10.41	10.89
13.13	18.11
19.85	20.44
11.61	13.76
10.57	9.09
13.06	12.30
19.74	19.77
18.84	15.89
13.37	14.28
15.57	14.19
12.95	11.50
7.65	6.10
10.43	8.40
18.01	19.69
9.78	10.89
8.22	7.51
6.28	6.84
16.37	18.26
18.24	15.31
15.76	11.42
16.31	18.12
14.29	13.20
18.07	18.10
11.35	11.89
18.88	18.59
20.41	21.27
19.04	21.01
17.66	15.91
13.60	11.16
6.28	6.95
13.77	13.74
16.37	15.31
21.41	24.74
17.15	16.64
11.14	9.07
17.20	14.65
18.41	17.84
22.03	23.94
10.97	6.97
11.01	9.30
11.39	13.53
14.12	15.69
20.16	21.90
22.75	22.75
7.49	6.38
15.08	13.03
17.80	18.47
22.32	22.59
14.43	15.22
18.72	21.13
18.42	17.30
8.98	9.34
8.08	8.42
16.74	17.28
15.41	18.93
23.49	28.59
13.92	14.71
12.51	10.13
15.55	14.28
15.16	12.58
14.28	13.42
9.36	9.02
20.66	24.77
13.62	12.36
19.69	19.76
16.76	13.86
20.55	24.11
9.88	9.68
5.14	6.37
11.95	12.91
18.27	19.87
16.07	14.08
14.24	16.36
13.73	14.85
9.16	7.08
14.49	14.50
15.05	16.06
8.68	8.71
19.53	20.14
15.62	17.62
16.14	13.03
9.34	8.89
10.36	9.82
21.77	25.29
12.09	9.15
15.74	15.27
16.15	16.67
7.68	9.73
8.67	6.05
10.63	9.41
8.98	9.24
22.26	22.13
14.08	12.89
15.64	16.30
9.95	8.73
13.64	14.51
16.01	16.00
14.74	13.99
19.60	19.14
19.06	20.38
16.55	15.33
18.26	19.60
20.70	19.93
6.45	5.11
15.58	17.63
14.23	13.85
21.94	22.39
19.65	19.45
17.93	17.60
17.47	15.07
13.09	15.52
13.32	18.05
15.44	12.97
16.01	18.33
18.94	19.41
13.85	13.64
8.85	8.16
15.88	16.21
9.88	8.71
14.33	15.07
11.26	10.35
16.18	17.65
18.23	16.98
17.18	15.69
21.02	23.79
18.67	18.76
13.13	13.90
15.56	17.27
7.60	8.27
19.52	19.85
20.78	21.87
20.69	19.73
10.19	11.77
21.32	26.68
20.02	18.82
12.64	17.80
13.76	13.67
12.45	10.89
12.44	12.16
16.14	15.38
20.36	21.77
20.13	22.08
14.15	14.77
9.55	5.98
10.41	12.58
18.20	18.08
10.63	12.09
13.88	16.44
18.72	16.78
11.47	10.67
18.24	19.75
12.82	9.09
17.73	16.13
8.18	11.88
17.68	16.30
13.99	13.01
10.95	8.83
15.41	14.68
17.02	15.36
12.07	12.62
18.41	17.10
19.28	19.96
8.85	9.02
14.00	14.16
9.39	10.35
11.97	12.45
15.56	20.15
12.91	12.24
17.95	16.80
20.54	21.25
9.93	9.55
9.21	11.41
14.45	12.15
15.64	15.52
11.93	10.25
15.68	16.59
13.31	11.55
10.59	13.36
16.55	16.03
10.86	12.22
9.45	10.29
15.14	15.03
21.90	21.89
20.13	20.84
4.75	2.93
14.59	14.72
18.06	18.76
14.94	14.22
9.42	10.25
12.84	10.73
17.74	18.78
5.45	4.41
19.38	18.71
16.01	15.41
14.01	13.18
6.74	0.66
13.96	14.62
13.91	14.06
6.54	5.55
8.78	10.09
10.99	13.35
14.31	9.72
13.41	12.18
12.02	10.11
14.38	16.84
7.12	6.68
17.82	14.62
15.81	15.24
20.84	22.34
17.83	14.71
14.73	15.36
18.23	19.90
14.57	15.09
16.94	16.93
5.61	5.37
24.24	27.78
7.77	9.12
10.10	9.94
16.87	16.65
6.75	2.22
15.61	16.82
