Name: compactiv.csv
Case: d
Root Mean Squared Error: 3.2027397430276325
best k: 3
data range: (0.0, 99.0)
dataset size: 8192
Predicted Data	Raw Data
89.67	91.00
83.67	78.00
93.33	93.00
91.00	89.00
76.67	76.00
97.67	98.00
94.67	93.00
98.00	98.00
80.00	79.00
94.67	97.00
70.33	65.00
76.33	73.00
90.00	87.00
90.67	91.00
93.33	92.00
91.67	90.00
84.00	85.00
78.67	80.00
81.67	79.00
84.67	86.00
86.67	88.00
90.67	92.00
95.00	96.00
89.33	88.00
82.67	81.00
90.67	89.00
0.00	0.00
85.67	85.00
79.67	81.00
91.00	89.00
87.33	83.00
90.00	90.00
87.33	91.00
86.33	85.00
82.00	83.00
77.67	79.00
88.00	87.00
96.33	97.00
74.00	72.00
98.00	96.00
97.67	93.00
86.67	83.00
74.33	74.00
90.33	91.00
87.00	90.00
95.00	96.00
85.33	88.00
96.33	95.00
84.67	89.00
92.33	94.00
84.33	85.00
86.67	87.00
72.67	71.00
84.33	87.00
90.00	92.00
94.33	92.00
75.33	77.00
73.33	68.00
92.67	91.00
95.33	97.00
97.67	98.00
90.67	89.00
89.00	82.00
87.67	85.00
84.00	81.00
97.33	97.00
92.33	93.00
82.00	86.00
90.33	93.00
89.33	88.00
89.00	87.00
89.00	89.00
75.00	70.00
86.33	84.00
96.00	97.00
95.00	96.00
82.33	76.00
78.67	76.00
0.00	0.00
91.33	89.00
79.33	81.00
95.67	87.00
92.00	93.00
89.67	93.00
87.33	89.00
88.33	87.00
86.67	90.00
93.67	93.00
97.67	98.00
80.67	76.00
90.33	93.00
85.67	83.00
87.00	89.00
96.33	98.00
87.00	87.00
91.00	92.00
66.00	64.00
83.33	85.00
94.00	92.00
75.67	75.00
95.67	96.00
93.67	92.00
80.00	78.00
96.33	97.00
87.33	88.00
79.67	76.00
96.67	96.00
92.33	94.00
87.67	90.00
93.33	93.00
97.00	97.00
97.67	98.00
97.67	97.00
97.67	97.00
95.00	94.00
60.33	62.00
88.00	89.00
94.67	92.00
81.33	78.00
68.33	66.00
64.00	63.00
81.67	77.00
94.67	95.00
82.33	85.00
91.00	90.00
94.33	95.00
92.00	92.00
98.33	99.00
95.00	96.00
92.33	94.00
83.00	84.00
77.33	81.00
92.67	88.00
80.00	77.00
93.00	93.00
96.33	95.00
84.67	85.00
88.33	85.00
89.33	85.00
57.67	53.00
66.33	70.00
83.00	86.00
83.33	87.00
78.67	80.00
97.67	98.00
97.33	97.00
77.00	78.00
83.00	83.00
98.33	98.00
89.33	91.00
97.33	97.00
95.67	96.00
86.33	86.00
94.67	94.00
92.67	92.00
0.00	0.00
98.33	99.00
91.67	90.00
61.67	61.00
89.33	90.00
84.00	85.00
91.00	90.00
92.67	92.00
89.33	89.00
90.00	91.00
89.67	87.00
81.00	85.00
91.33	95.00
91.67	91.00
72.33	72.00
83.33	84.00
96.33	95.00
78.00	83.00
91.67	91.00
89.00	92.00
85.33	85.00
74.00	78.00
78.33	79.00
93.33	91.00
87.00	80.00
75.67	73.00
91.33	94.00
81.00	88.00
91.67	89.00
75.67	72.00
76.67	78.00
95.00	94.00
90.67	93.00
89.67	90.00
88.33	88.00
94.67	93.00
87.33	80.00
95.33	94.00
96.33	97.00
76.67	76.00
96.67	97.00
87.33	88.00
83.00	72.00
93.00	94.00
64.33	62.00
82.33	84.00
93.00	90.00
90.33	90.00
94.33	94.00
84.00	81.00
93.67	93.00
75.67	72.00
89.00	87.00
67.33	69.00
90.33	90.00
87.67	84.00
91.00	89.00
94.00	95.00
92.33	89.00
94.67	95.00
95.00	94.00
97.00	96.00
83.00	86.00
85.33	86.00
87.67	89.00
59.67	64.00
91.33	91.00
92.67	87.00
94.33	95.00
89.00	88.00
96.00	94.00
77.67	74.00
93.33	96.00
92.33	86.00
0.00	0.00
89.33	90.00
94.67	96.00
85.67	84.00
68.00	60.00
97.00	96.00
96.33	95.00
87.67	84.00
88.67	92.00
92.33	89.00
86.33	85.00
83.33	84.00
87.67	89.00
96.67	98.00
92.00	95.00
92.67	93.00
78.33	75.00
91.33	93.00
85.00	86.00
83.00	83.00
89.67	91.00
88.67	90.00
79.33	73.00
97.67	96.00
93.67	95.00
80.33	74.00
79.67	77.00
97.00	97.00
74.33	71.00
92.67	92.00
94.67	97.00
