Name: california.csv
Case: a
Root Mean Squared Error: 63076.29887951363
best k: 9
data range: (17500, 500001)
dataset size: 20640
Predicted Data	Raw Data
108155.56	92000.00
212566.67	253600.00
168966.67	168900.00
215644.44	194000.00
132955.56	124600.00
52788.89	46500.00
191744.44	305000.00
202000.00	188700.00
179477.78	179500.00
186433.33	176000.00
303000.00	431000.00
192222.22	245800.00
74033.33	110300.00
261466.67	265200.00
89022.22	64100.00
204677.78	176700.00
126122.22	155000.00
365289.11	335200.00
166611.11	153700.00
82433.33	67500.00
138611.11	112500.00
140477.78	141100.00
263966.67	261500.00
431133.67	380600.00
258244.44	262100.00
321500.11	500001.00
310922.22	350000.00
470022.78	399700.00
491767.44	500001.00
365000.00	355300.00
71455.56	48100.00
231900.00	209700.00
448322.67	500001.00
100455.56	85400.00
119566.67	95200.00
255222.22	293500.00
201177.78	214500.00
183177.78	174400.00
91433.33	55000.00
187211.11	500001.00
126588.89	99800.00
68966.67	81300.00
231933.44	285000.00
262322.22	240200.00
172800.00	148100.00
192922.22	188700.00
269644.56	243800.00
266644.44	278800.00
260322.22	228100.00
461544.89	500001.00
213855.56	346900.00
96866.67	150000.00
416189.22	500001.00
80777.78	25000.00
277866.78	369400.00
175288.89	179200.00
181000.00	256300.00
213488.89	160400.00
198411.11	194600.00
126166.67	166000.00
227544.44	116700.00
265566.67	248200.00
133066.67	110500.00
170377.78	147600.00
116066.67	84600.00
78977.78	75700.00
236300.11	475000.00
189600.00	217800.00
202566.67	103400.00
58244.44	54100.00
190544.44	101800.00
192733.33	161200.00
280766.67	500001.00
162055.56	177500.00
235077.89	225000.00
57233.33	68500.00
267977.89	194400.00
90211.11	87500.00
348188.89	368700.00
484611.89	245800.00
67466.67	104200.00
97211.11	107800.00
334566.67	380800.00
151277.78	126500.00
392800.22	484600.00
194900.00	206900.00
267466.78	279900.00
189255.56	179800.00
236011.11	457300.00
457111.56	500001.00
304288.89	288900.00
65477.78	62200.00
115555.56	115000.00
183811.11	181900.00
63777.78	58900.00
176011.11	117600.00
105688.89	93300.00
274577.89	206700.00
215866.67	151400.00
306411.22	439200.00
422800.44	363600.00
149300.00	158800.00
79788.89	92700.00
129311.11	142100.00
56300.00	61700.00
88855.56	82800.00
63633.33	72500.00
158700.00	236100.00
393844.56	241700.00
264722.33	281300.00
116488.89	102600.00
135711.11	164400.00
209188.89	121000.00
296866.89	350000.00
278688.89	171900.00
118488.89	58000.00
179011.11	189200.00
134577.78	98100.00
275866.78	370500.00
208700.00	224100.00
180688.89	257400.00
141555.56	139600.00
352877.89	500001.00
357922.56	500001.00
283377.89	283200.00
81688.89	91700.00
273389.00	140800.00
188611.11	165900.00
110544.44	109900.00
222444.44	181800.00
290577.78	218500.00
239866.67	500001.00
220866.67	282600.00
337955.67	409600.00
118244.44	134600.00
122622.22	118200.00
165866.67	174000.00
285977.78	268200.00
250833.44	211800.00
100888.89	78300.00
85466.67	57500.00
129988.89	193800.00
217844.56	354000.00
281455.56	279000.00
305855.67	500001.00
55500.00	43100.00
460311.44	500001.00
170877.78	185400.00
100266.67	88800.00
247122.22	254500.00
414822.33	494700.00
186700.00	150500.00
187711.11	136400.00
130800.00	117500.00
83933.33	62300.00
144211.11	126100.00
181944.44	235300.00
308377.89	284200.00
323155.56	500001.00
151655.56	142600.00
234133.33	108300.00
291100.11	273800.00
99011.11	72400.00
261211.22	331800.00
111055.56	212500.00
161777.78	171300.00
455523.00	500001.00
273011.11	238700.00
189677.78	137100.00
344233.44	459600.00
161566.67	350000.00
153044.44	120000.00
229644.44	196800.00
102555.56	107500.00
342911.33	275700.00
252789.00	215700.00
129444.44	181300.00
56544.44	60500.00
384588.89	394400.00
71577.78	65400.00
89077.78	87000.00
109722.22	161800.00
259533.33	287800.00
208711.11	234600.00
360344.67	482700.00
229200.00	120400.00
266600.00	173200.00
194844.44	122300.00
216788.89	189100.00
283877.78	308600.00
117377.78	106500.00
108155.56	116800.00
156133.33	218400.00
216111.11	165000.00
107822.22	112500.00
204811.11	222800.00
197688.89	353000.00
90700.00	142500.00
199933.33	285000.00
121388.89	137500.00
67788.89	86800.00
184422.22	149400.00
279577.78	359400.00
253166.67	237700.00
213255.56	226900.00
205855.56	131300.00
142200.00	170300.00
318133.33	350000.00
287422.22	183600.00
105500.00	62500.00
163522.22	170800.00
214633.33	177500.00
306200.00	500001.00
189800.00	167900.00
57333.33	45300.00
99433.33	98100.00
186188.89	87500.00
350566.78	488900.00
119355.56	123200.00
120544.44	134700.00
142555.56	144800.00
236466.67	213900.00
183966.67	237100.00
189844.44	122400.00
284800.00	261600.00
239322.22	263500.00
88600.00	93100.00
500001.00	500001.00
219466.78	209100.00
188577.78	177500.00
104377.78	86300.00
429444.78	352800.00
272922.22	177100.00
200722.22	233300.00
379411.11	329400.00
144633.33	146200.00
125433.33	159000.00
284433.33	226000.00
137155.56	168800.00
414667.00	295200.00
329633.33	395300.00
114933.33	148700.00
212777.78	183400.00
69100.00	70700.00
182522.22	207900.00
343688.89	261100.00
136111.11	99100.00
125144.44	102900.00
341722.33	355800.00
364366.78	267600.00
241055.56	230800.00
224877.78	237200.00
247788.89	230800.00
169677.78	126500.00
113555.56	132100.00
436578.22	380400.00
199800.00	222200.00
68355.56	80100.00
116144.44	102600.00
172700.00	138800.00
214833.33	390800.00
487412.00	415900.00
175977.78	188200.00
94966.67	94200.00
117900.00	111500.00
171066.67	127200.00
105100.00	93800.00
343089.00	500001.00
212900.00	141600.00
112422.22	150000.00
147233.33	120300.00
220022.22	213200.00
87922.22	73100.00
140844.44	162500.00
172100.00	165000.00
57955.56	52300.00
122811.11	155400.00
143522.22	100900.00
91811.11	145500.00
141600.00	94100.00
83155.56	65600.00
154655.56	111800.00
303711.11	298600.00
245800.00	226500.00
116688.89	87900.00
61088.89	52900.00
137466.67	92800.00
359944.44	399300.00
268277.78	242200.00
181377.78	157500.00
227511.11	130200.00
223855.56	228900.00
378033.33	500000.00
286555.67	184600.00
262344.44	240000.00
88277.78	66400.00
157622.22	131900.00
137633.33	165000.00
142011.11	162500.00
323422.33	349300.00
120677.78	239300.00
189777.78	213700.00
240311.22	385300.00
241344.56	146900.00
