Name:	delta_elv.csv 
Root Mean Squared Error:	0.001416365462707129
best k:	20
data range:	(-0.008, 0.008)
dataset size:	9517
Predicted Data	Raw Data
-0.00	-0.00
0.00	0.01
-0.00	-0.00
-0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.01
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	0.00
0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.01
-0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.01
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.01
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	0.00
0.00	0.00
0.00	0.00
0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	0.00
-0.00	-0.01
-0.00	0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.01
-0.00	-0.00
0.00	-0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	0.00
-0.00	-0.00
-0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	0.00
-0.00	-0.00
0.00	0.00
-0.00	0.00
-0.00	-0.01
-0.00	-0.01
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	0.00
-0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	-0.00
0.00	-0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
-0.00	-0.00
0.00	0.00
-0.00	-0.00
0.00	0.00
0.00	0.00
-0.00	-0.00
0.00	0.01
0.00	0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
-0.00	-0.00
