Name:	elevators.csv 
Root Mean Squared Error:	0.0036329689292255137
best k:	7
data range:	(0.012, 0.074)
dataset size:	16599
Predicted Data	Raw Data
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.03
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.01
0.02	0.03
0.03	0.04
0.02	0.02
0.02	0.03
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.05	0.06
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.01
0.02	0.02
0.04	0.06
0.03	0.03
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.02
0.03	0.03
0.02	0.03
0.02	0.02
0.02	0.04
0.02	0.02
0.03	0.03
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.04	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.04	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.03
0.02	0.02
0.03	0.03
0.02	0.02
0.04	0.04
0.03	0.03
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.02
0.02	0.03
0.04	0.04
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.01	0.01
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.04	0.05
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.03	0.04
0.02	0.02
0.02	0.02
0.04	0.05
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.03	0.03
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.03
0.02	0.03
0.04	0.05
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.05
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.03
0.03	0.03
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.02
0.02	0.03
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.05	0.05
0.02	0.01
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.04	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.04	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.04
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.02
0.04	0.04
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.04	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.03	0.03
0.03	0.02
0.03	0.03
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.01
0.04	0.04
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.01
0.02	0.02
0.02	0.02
0.03	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.03	0.03
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.02	0.02
0.04	0.04
0.02	0.02
0.02	0.02
