Name:	pole.csv 
Root Mean Squared Error:	8.371910707173654
best k:	3
data range:	(0.0, 100.0)
dataset size:	14998
Predicted Data	Raw Data
0.00	0.00
0.00	0.00
16.67	0.00
86.67	90.00
0.00	0.00
0.00	0.00
46.67	50.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
53.33	50.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
20.00	20.00
6.67	0.00
0.00	0.00
100.00	100.00
70.00	70.00
0.00	0.00
50.00	40.00
0.00	0.00
0.00	0.00
100.00	100.00
100.00	100.00
96.67	100.00
0.00	0.00
0.00	0.00
30.00	0.00
16.67	0.00
0.00	0.00
100.00	100.00
30.00	40.00
20.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
83.33	90.00
100.00	100.00
0.00	0.00
100.00	100.00
100.00	100.00
0.00	0.00
0.00	0.00
76.67	90.00
66.67	80.00
0.00	0.00
0.00	0.00
0.00	0.00
100.00	100.00
40.00	40.00
10.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
6.67	0.00
0.00	0.00
53.33	60.00
46.67	40.00
100.00	100.00
100.00	100.00
50.00	80.00
100.00	100.00
10.00	10.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
73.33	80.00
0.00	0.00
100.00	100.00
0.00	10.00
100.00	100.00
6.67	0.00
100.00	100.00
20.00	10.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
43.33	30.00
0.00	0.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
100.00	100.00
100.00	100.00
86.67	90.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
30.00	30.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
0.00	0.00
40.00	50.00
100.00	100.00
100.00	100.00
0.00	0.00
0.00	0.00
100.00	100.00
0.00	0.00
63.33	70.00
56.67	80.00
100.00	100.00
0.00	0.00
100.00	100.00
0.00	0.00
0.00	0.00
100.00	100.00
