Name:	wankara.csv 
Root Mean Squared Error:	1.9482245211827842
best k:	8
data range:	(8.4, 78.9)
dataset size:	1609
Predicted Data	Raw Data
23.88	21.90
59.49	59.50
74.65	77.90
68.94	67.00
33.41	31.90
34.81	34.80
71.78	72.90
24.75	24.60
35.61	34.90
63.69	64.50
34.09	30.20
63.39	64.10
35.01	33.90
60.45	58.60
30.66	29.70
47.34	46.60
67.96	65.20
16.29	8.40
64.82	63.50
65.14	65.80
44.31	44.00
50.89	50.30
37.70	36.70
47.70	45.10
39.00	37.70
25.39	29.60
17.91	14.10
72.80	73.00
34.45	33.80
32.48	32.20
22.92	20.10
65.21	65.70
41.24	40.10
70.39	70.20
35.76	36.70
40.06	40.20
68.86	66.40
52.85	52.20
40.65	39.40
54.45	54.10
53.73	55.40
62.94	64.20
43.10	43.30
48.89	45.40
71.36	66.40
29.76	29.40
67.14	64.10
37.36	37.00
36.34	36.90
36.34	37.50
40.02	39.80
35.06	33.00
46.95	46.40
71.88	70.10
39.65	40.90
32.42	30.80
57.97	59.10
64.84	66.10
31.02	30.30
36.50	35.90
50.80	48.70
54.88	55.60
36.25	37.00
71.52	73.80
71.34	73.20
69.62	65.60
52.45	55.60
41.47	40.10
33.94	33.10
76.38	78.10
56.86	57.80
75.36	76.30
32.14	30.60
40.15	42.50
65.24	62.30
18.48	12.30
27.04	28.90
72.95	72.90
74.78	73.50
42.74	39.20
52.06	53.20
65.72	64.50
64.91	64.70
36.25	36.00
71.84	72.00
63.34	61.40
32.78	30.90
60.47	59.90
68.62	66.40
65.78	64.60
48.50	46.40
49.73	49.50
39.91	43.70
35.55	35.60
46.77	42.80
26.94	24.80
35.79	35.60
31.07	31.50
64.17	63.00
48.94	47.80
45.45	47.20
51.17	50.00
72.50	71.70
50.34	53.60
32.44	31.30
28.92	29.80
66.16	64.90
57.28	57.20
61.30	62.00
66.29	67.90
31.75	31.00
41.20	39.00
42.10	42.30
33.65	34.90
27.57	29.40
63.03	58.80
58.06	58.20
29.44	27.10
41.72	41.10
43.61	42.50
62.91	62.80
49.80	51.50
57.54	55.90
61.05	61.60
71.36	71.90
27.14	26.60
35.41	33.70
33.26	32.90
45.10	45.20
35.91	36.30
69.95	68.20
63.09	63.10
62.12	63.30
35.27	36.10
44.76	48.00
40.56	42.00
65.89	67.20
45.91	46.40
45.30	43.60
63.49	62.70
31.35	30.60
69.74	67.90
43.15	45.10
48.25	48.40
61.55	61.40
38.30	37.20
74.60	73.70
53.69	50.80
56.04	56.70
70.60	68.10
39.14	41.80
72.11	72.60
39.26	38.60
68.09	64.80
60.54	61.30
35.78	38.10
45.04	46.20
37.14	37.60
69.46	71.00
31.95	30.70
50.62	48.70
51.83	51.80
34.27	34.60
58.11	59.90
53.49	54.80
34.85	33.90
48.36	47.70
66.25	66.70
27.55	29.20
27.25	24.70
39.91	43.50
69.01	66.40
34.54	35.50
66.29	63.30
57.58	56.10
71.86	71.50
62.42	62.40
76.19	78.90
76.06	77.10
31.80	30.70
32.55	30.10
65.91	62.20
62.44	62.40
47.89	48.50
46.34	46.90
30.21	29.10
25.95	28.00
62.81	62.00
42.84	48.10
49.25	50.70
68.71	69.60
56.34	56.80
37.19	37.10
72.70	74.40
46.50	46.00
28.26	30.60
58.42	59.00
51.60	54.70
56.44	59.30
60.16	63.30
67.91	67.60
41.34	41.80
62.41	62.20
39.56	40.20
57.90	59.00
45.77	44.70
62.73	64.10
70.04	70.00
42.77	44.30
42.19	43.80
68.71	69.00
56.74	60.90
42.60	40.40
36.19	38.10
72.05	74.30
38.04	36.70
30.38	30.50
56.88	53.70
71.35	75.40
58.77	56.50
45.04	45.30
66.51	65.90
38.21	35.90
33.31	32.50
40.44	37.60
27.09	28.90
65.09	68.20
38.59	38.50
27.29	28.20
73.49	77.30
63.30	62.10
40.71	39.50
35.27	33.70
30.65	27.00
26.88	25.30
35.17	37.10
34.76	32.10
41.24	37.60
63.30	65.00
67.38	68.00
57.61	54.40
62.43	59.80
70.74	70.80
57.00	57.30
28.41	28.20
65.19	66.20
60.58	58.50
68.86	73.80
47.09	48.10
39.46	39.80
74.33	77.80
63.30	62.60
60.02	57.80
38.39	38.20
24.46	24.10
49.06	49.40
64.72	63.00
38.79	42.40
67.03	65.40
37.56	39.40
60.17	55.40
66.31	63.80
62.94	64.30
24.43	25.10
69.52	69.90
65.30	67.90
58.27	58.40
51.10	52.20
33.31	32.50
50.91	50.70
72.91	74.20
64.65	67.00
39.15	41.40
56.41	56.60
67.66	67.90
41.85	42.10
54.49	55.40
58.92	59.30
64.53	65.20
69.05	77.50
21.35	20.20
49.55	48.60
62.55	64.20
39.67	37.70
71.78	74.20
68.71	67.50
40.94	40.20
25.21	26.90
48.59	47.70
67.78	67.00
55.01	54.50
31.93	33.90
61.41	59.30
39.94	41.10
34.30	31.70
27.91	26.20
70.04	70.30
25.52	23.70
48.36	48.80
48.95	51.60
30.90	33.20
30.89	31.00
45.10	44.40
68.84	69.90
40.11	39.00
45.99	47.40
34.45	34.90
24.69	21.80
69.58	72.20
41.26	39.40
75.38	75.00
27.44	27.20
63.76	63.00
70.15	67.80
52.66	50.70
38.86	36.90
68.53	67.90
65.95	61.40
73.03	73.30
35.90	35.30
39.20	40.50
33.83	33.90
