Name: autoMPG6.csv
Case: d
Root Mean Squared Error: 2.676700853775874
best k: 7
data range: (12.0, 44.0)
dataset size: 392
Predicted Data	Raw Data
27.83	30.70
17.10	18.00
25.57	21.00
19.26	19.00
18.29	18.00
29.89	29.00
17.36	16.00
16.74	16.90
28.40	32.00
25.57	25.00
24.54	28.80
17.71	19.40
36.64	37.70
37.07	38.10
24.49	26.80
26.71	31.00
34.87	32.20
13.86	14.00
34.80	30.00
28.14	35.00
22.43	19.00
14.00	14.00
13.71	15.00
27.14	26.00
35.81	36.00
19.04	18.50
13.00	14.00
32.96	36.10
13.43	12.00
17.23	18.10
29.43	31.00
14.29	16.00
14.43	14.00
24.10	21.50
21.99	20.20
23.57	23.00
14.14	16.00
16.71	17.00
19.43	22.00
18.67	16.50
38.07	44.00
31.91	30.00
28.74	26.00
24.47	22.00
27.14	32.00
19.87	20.20
21.86	20.00
22.00	21.00
18.29	23.00
30.93	25.80
26.00	28.00
28.36	27.00
22.00	21.00
28.14	33.50
29.00	27.00
24.06	19.00
23.86	24.00
15.14	14.50
17.43	15.00
26.64	32.00
30.16	31.60
26.71	24.00
27.46	27.90
33.30	32.00
14.71	15.00
32.13	29.00
25.86	30.00
28.37	27.00
24.71	26.00
27.14	27.00
18.43	18.00
30.07	30.50
30.13	30.50
17.53	19.20
28.71	36.40
15.43	15.00
24.63	25.00
16.54	17.50
18.71	20.00
