Name: concrete.csv
Case: b
Root Mean Squared Error: 8.81998769161311
best k: 3
data range: (6.27, 81.75)
dataset size: 1030
Predicted Data	Raw Data
39.56	55.55
48.85	61.23
56.24	79.99
28.62	29.41
25.58	40.23
31.38	37.81
33.54	43.25
46.42	46.23
37.20	44.40
53.24	35.96
56.30	68.50
27.60	33.21
21.91	27.53
19.03	11.36
15.51	14.31
34.59	25.56
25.86	23.74
31.39	33.01
22.37	19.35
26.07	31.97
47.01	27.42
41.35	41.15
14.49	15.07
47.03	53.58
38.60	37.91
47.11	32.11
56.24	61.89
11.68	22.35
51.93	54.90
40.66	45.84
54.03	59.20
32.77	38.33
21.64	24.92
18.41	21.97
14.92	8.54
19.43	17.22
16.94	27.92
33.69	25.42
68.03	67.80
25.74	20.97
48.33	63.14
40.66	39.61
42.88	40.15
27.60	36.94
26.00	31.74
63.70	70.70
16.06	15.87
34.60	23.84
35.86	36.64
28.62	39.84
36.07	31.35
19.91	22.84
60.63	67.87
31.73	28.99
17.48	8.06
48.50	47.81
43.14	50.24
37.26	33.08
19.00	19.69
53.55	52.96
31.90	36.80
45.72	81.75
29.57	35.85
43.37	44.52
77.30	77.30
60.83	72.99
18.53	14.80
56.24	57.23
37.58	38.63
30.94	42.70
26.50	9.69
56.14	66.95
14.51	18.91
31.54	30.12
30.86	44.87
46.42	46.23
29.37	26.26
36.73	38.46
41.74	48.67
17.48	7.51
64.60	39.30
25.76	38.50
46.93	28.10
22.40	29.93
29.57	33.69
11.84	11.47
32.32	43.39
32.03	39.59
64.53	50.51
32.68	31.65
45.78	46.64
22.57	13.22
19.21	13.82
18.83	17.17
21.97	33.61
40.97	37.17
23.98	15.04
37.89	33.76
24.89	21.60
41.45	43.57
37.26	39.09
35.89	32.40
53.00	45.30
19.43	11.98
36.74	47.40
38.03	55.90
39.12	30.08
19.08	27.87
33.48	37.96
30.62	29.16
23.52	26.31
25.79	29.72
49.00	47.22
18.19	20.87
28.14	36.35
55.23	68.30
18.94	20.08
40.90	41.16
28.14	36.35
7.45	6.28
21.95	31.35
25.92	12.37
46.32	39.42
6.71	6.88
22.76	26.05
38.55	51.96
18.30	17.54
64.63	74.17
26.25	26.14
32.72	26.86
20.42	12.47
27.32	25.89
16.34	30.39
22.57	18.13
34.60	23.84
37.97	21.78
39.81	42.23
38.10	39.46
21.36	7.40
54.53	52.44
44.84	52.42
38.03	55.90
48.93	33.40
43.37	44.52
37.58	40.87
45.13	51.04
28.81	19.20
32.37	22.95
23.58	27.77
56.56	56.63
44.59	60.28
32.73	28.63
34.82	33.02
62.96	64.30
27.10	32.85
64.83	59.09
25.79	23.89
27.09	44.52
36.52	33.54
28.96	31.03
24.95	30.23
38.11	47.13
53.09	50.94
28.70	23.52
54.21	55.06
32.37	35.23
27.10	7.75
33.77	33.72
21.30	18.20
71.30	71.30
36.91	34.56
43.12	42.92
46.05	42.42
49.54	53.30
36.41	44.64
56.24	52.61
37.10	41.20
6.71	13.66
15.24	15.52
21.64	24.66
41.97	33.42
34.60	40.06
25.54	21.95
26.88	32.72
28.81	39.60
54.97	60.20
35.69	32.92
32.43	24.10
40.30	39.49
56.59	60.29
33.00	32.84
40.90	44.30
33.94	32.53
52.30	58.52
13.85	10.22
34.26	39.15
21.95	6.27
68.23	28.30
36.11	41.54
16.06	9.01
45.78	51.43
68.62	69.84
41.21	42.64
25.79	29.73
40.30	42.33
58.90	72.10
